Cidade;Total;0 a 4 anos;5 a 9 anos;10 a 14 anos;15 a 19 anos;20 a 24 anos;25 a 29 anos;30 a 34 anos;35 a 39 anos;40 a 44 anos;45 a 49 anos;50 a 54 anos;55 a 59 anos;60 a 64 anos;65 a 69 anos;70 a 74 anos;75 a 79 anos;80 a 84 anos;85 a 89 anos;90 a 94 anos;95 a 99 anos;100 anos ou mais;Total;0 a 4 anos;5 a 9 anos;10 a 14 anos;15 a 19 anos;20 a 24 anos;25 a 29 anos;30 a 34 anos;35 a 39 anos;40 a 44 anos;45 a 49 anos;50 a 54 anos;55 a 59 anos;60 a 64 anos;65 a 69 anos;70 a 74 anos;75 a 79 anos;80 a 84 anos;85 a 89 anos;90 a 94 anos;95 a 99 anos;100 anos ou mais;Total;0 a 4 anos;5 a 9 anos;10 a 14 anos;15 a 19 anos;20 a 24 anos;25 a 29 anos;30 a 34 anos;35 a 39 anos;40 a 44 anos;45 a 49 anos;50 a 54 anos;55 a 59 anos;60 a 64 anos;65 a 69 anos;70 a 74 anos;75 a 79 anos;80 a 84 anos;85 a 89 anos;90 a 94 anos;95 a 99 anos;100 anos ou mais
Miracema (RJ);26881;1671;1586;1747;1810;1922;1843;1874;1748;2035;1752;1784;1784;1548;1283;939;655;472;283;109;30;6;12947;853;817;879;896;959;912;932;831;971;847;858;825;730;603;433;253;199;107;35;7;-;13934;818;769;868;914;963;931;942;917;1064;905;926;959;818;680;506;402;273;176;74;23;6
Natividade (RJ);15074;822;928;872;944;1058;1005;937;1036;1139;935;1036;1048;895;843;608;400;261;190;83;25;9;7311;418;467;437;501;525;497;467;502;543;436;504;499;423;393;297;171;122;65;34;8;2;7763;404;461;435;443;533;508;470;534;596;499;532;549;472;450;311;229;139;125;49;17;7
Nilópolis (RJ);146774;7511;9071;7895;8983;9927;10046;10580;11225;11743;10359;10176;9716;9257;7441;5565;3369;2170;1126;480;121;13;68474;3663;4646;3991;4616;4927;4755;5114;5317;5620;4758;4756;4328;4136;3127;2237;1237;749;350;124;22;1;78300;3848;4425;3904;4367;5000;5291;5466;5908;6123;5601;5420;5388;5121;4314;3328;2132;1421;776;356;99;12
Niterói (RJ);481749;21643;25012;23616;25087;31177;32996;34033;35964;39576;33282;31826;32716;31793;27087;21056;14783;10057;6098;2954;831;162;220680;10994;12446;12124;12727;15199;15820;16219;16844;18595;15255;14350;14603;13754;11349;8511;5535;3534;1892;745;157;27;261069;10649;12566;11492;12360;15978;17176;17814;19120;20981;18027;17476;18113;18039;15738;12545;9248;6523;4206;2209;674;135
Nova Friburgo (RJ);189939;9321;10485;10758;11293;12684;12643;13160;14082;15171;13404;13347;13164;12130;9772;7589;4943;3234;1740;799;189;31;90786;4734;5401;5481;5749;6540;6266;6553;6603;7314;6400;6179;6173;5455;4332;3269;2117;1289;610;257;59;5;99153;4587;5084;5277;5544;6144;6377;6607;7479;7857;7004;7168;6991;6675;5440;4320;2826;1945;1130;542;130;26
Nova Iguaçu (RJ);785867;47372;54146;51377;54253;61418;59815;56739;57120;61794;53411;53130;47973;42007;32611;23239;14149;8567;4421;1801;456;68;373517;23867;27746;26388;27712;30499;28732;27055;26685;29265;25130;24775;21970;18767;14269;9804;5688;3066;1456;502;117;24;412350;23505;26400;24989;26541;30919;31083;29684;30435;32529;28281;28355;26003;23240;18342;13435;8461;5501;2965;1299;339;44
Paracambi (RJ);41375;2152;2419;2362;2454;2925;2975;3037;3140;3257;2856;3025;3016;2494;1947;1395;880;585;314;109;25;8;19925;1093;1195;1212;1248;1457;1457;1466;1528;1597;1367;1447;1417;1137;907;623;377;228;126;37;5;1;21450;1059;1224;1150;1206;1468;1518;1571;1612;1660;1489;1578;1599;1357;1040;772;503;357;188;72;20;7
Paraíba do Sul (RJ);42063;2429;2769;2800;2704;3032;2860;2737;2914;3146;2725;2896;2760;2590;2034;1483;935;655;355;198;33;8;19787;1209;1392;1374;1337;1524;1392;1265;1348;1489;1198;1352;1318;1178;931;647;366;270;129;60;6;2;22276;1220;1377;1426;1367;1508;1468;1472;1566;1657;1527;1544;1442;1412;1103;836;569;385;226;138;27;6
Paraty (RJ);45243;2984;3116;3019;3224;3225;3223;3338;3845;4013;3377;2919;2654;2240;1678;1121;616;347;200;83;18;3;22353;1511;1610;1530;1640;1655;1574;1570;1808;1962;1681;1449;1272;1098;851;570;283;173;83;26;6;1;22890;1473;1506;1489;1584;1570;1649;1768;2037;2051;1696;1470;1382;1142;827;551;333;174;117;57;12;2
Paty do Alferes (RJ);29619;1861;2011;1868;1948;2140;2066;2105;2100;2201;1884;1966;1958;1756;1367;946;676;409;225;105;20;7;14301;950;983;958;961;1030;997;1013;996;1051;917;920;934;852;646;462;315;171;89;45;10;1;15318;911;1028;910;987;1110;1069;1092;1104;1150;967;1046;1024;904;721;484;361;238;136;60;10;6
Petrópolis (RJ);278881;14400;16083;15553;16577;19103;18797;19148;19850;21835;19654;19783;18669;16658;14247;11496;7621;4960;2831;1243;319;54;131079;7270;8073;7958;8365;9472;9097;9235;9344;10332;9370;9273;8556;7444;6205;4738;3078;1864;949;375;70;11;147802;7130;8010;7595;8212;9631;9700;9913;10506;11503;10284;10510;10113;9214;8042;6758;4543;3096;1882;868;249;43
Pinheiral (RJ);24298;1431;1625;1565;1590;1662;1737;1601;1857;2030;1585;1524;1610;1496;1214;792;494;248;152;64;17;4;11700;728;787;851;800;819;842;760;891;965;761;706;752;677;569;375;243;92;54;22;4;2;12598;703;838;714;790;843;895;841;966;1065;824;818;858;819;645;417;251;156;98;42;13;2
Piraí (RJ);27474;1645;1787;1721;1697;1921;1940;1900;1941;2194;1834;1874;1802;1652;1286;1022;580;377;194;80;21;6;13243;796;901;891;853;968;940;899;945;996;864;938;834;796;621;493;248;154;73;25;6;2;14231;849;886;830;844;953;1000;1001;996;1198;970;936;968;856;665;529;332;223;121;55;15;4
Porciúncula (RJ);17288;1077;1083;1124;1171;1231;1157;1176;1242;1308;1067;1123;1151;1010;801;613;419;264;151;86;26;8;8553;567;563;585;608;611;592;559;620;661;512;557;542;485;392;284;193;105;64;41;11;1;8735;510;520;539;563;620;565;617;622;647;555;566;609;525;409;329;226;159;87;45;15;7
Porto Real (RJ);20373;1296;1429;1464;1383;1568;1497;1541;1651;1675;1425;1338;1167;1062;746;496;298;199;92;36;9;1;9859;654;764;769;670;772;634;747;781;810;678;651;563;521;361;228;122;75;37;19;2;1;10514;642;665;695;713;796;863;794;870;865;747;687;604;541;385;268;176;124;55;17;7;-
Quatis (RJ);13682;793;888;939;896;1002;946;949;1044;1072;961;888;869;743;616;458;312;141;97;57;10;1;6555;390;478;463;421;494;471;453;519;503;453;437;401;340;288;193;132;59;43;15;2;-;7127;403;410;476;475;508;475;496;525;569;508;451;468;403;328;265;180;82;54;42;8;1
Queimados (RJ);140523;9061;10253;9618;10231;11005;10625;10304;10431;11325;9855;9235;7982;7044;5345;3773;2151;1324;612;268;67;14;67025;4549;5221;4925;5233;5343;4972;4808;4906;5427;4703;4323;3674;3209;2381;1653;890;508;201;77;18;4;73498;4512;5032;4693;4998;5662;5653;5496;5525;5898;5152;4912;4308;3835;2964;2120;1261;816;411;191;49;10
Quissamã (RJ);22393;1391;1697;1538;1562;1566;1585;1556;1608;1691;1386;1468;1446;1226;984;733;421;289;164;53;23;6;10861;721;855;821;798;760;741;715;763;818;643;712;675;593;462;361;204;132;60;14;11;2;11532;670;842;717;764;806;844;841;845;873;743;756;771;633;522;372;217;157;104;39;12;4
Resende (RJ);129612;7195;8078;8129;8247;9261;9550;9742;10706;10876;9204;8553;7915;7021;5609;4057;2527;1590;879;345;109;19;62320;3667;4056;4107;4244;4619;4698;4680;5215;5309;4410;4054;3653;3194;2513;1739;1105;625;302;102;27;1;67292;3528;4022;4022;4003;4642;4852;5062;5491;5567;4794;4499;4262;3827;3096;2318;1422;965;577;243;82;18
Rio Bonito (RJ);56276;3226;3429;3370;3664;3967;3906;3772;4164;4646;4127;3903;3543;3199;2647;2010;1234;760;437;204;59;9;27177;1645;1760;1736;1826;1970;1840;1799;2037;2257;1985;1807;1776;1489;1215;939;561;302;157;59;16;1;29099;1581;1669;1634;1838;1997;2066;1973;2127;2389;2142;2096;1767;1710;1432;1071;673;458;280;145;43;8
Rio Claro (RJ);17401;921;1046;1119;1171;1255;1128;1071;1225;1473;1252;1231;1089;1026;865;632;400;276;147;53;16;5;8518;481;522;547;587;641;564;505;586;718;608;603;502;526;394;332;181;128;67;20;3;3;8883;440;524;572;584;614;564;566;639;755;644;628;587;500;471;300;219;148;80;33;13;2
Rio das Flores (RJ);8954;515;612;590;626;665;670;620;558;675;635;568;596;498;352;290;224;152;61;35;10;2;4323;250;299;307;330;318;335;282;274;326;322;267;283;234;161;120;100;72;26;13;4;-;4631;265;313;283;296;347;335;338;284;349;313;301;313;264;191;170;124;80;35;22;6;2
Rio das Ostras (RJ);156491;9397;11319;10881;10544;10765;10781;11424;13742;14010;11532;9808;8859;7842;6334;4294;2438;1437;716;278;70;20;74853;4740;5719;5639;5335;5248;5130;5375;6456;6765;5445;4523;4118;3574;2865;1945;1019;580;277;83;15;2;81638;4657;5600;5242;5209;5517;5651;6049;7286;7245;6087;5285;4741;4268;3469;2349;1419;857;439;195;55;18
Rio de Janeiro (RJ);6211223;310648;367196;354457;371931;439660;454428;460448;479813;504195;426864;402001;386411;360818;304598;233160;151529;102752;61497;29295;8132;1390;2882579;156941;187206;181310;188100;219160;220671;219818;225912;236061;196406;183292;172500;156512;125757;92937;56360;35436;18746;7544;1704;206;3328644;153707;179990;173147;183831;220500;233757;240630;253901;268134;230458;218709;213911;204306;178841;140223;95169;67316;42751;21751;6428;1184
Santa Maria Madalena (RJ);10232;537;613;616;659;620;614;607;694;730;743;730;705;650;608;438;286;213;107;41;18;3;5130;283;316;325;335;319;306;291;345;357;368;369;344;316;308;242;129;104;49;17;6;1;5102;254;297;291;324;301;308;316;349;373;375;361;361;334;300;196;157;109;58;24;12;2
Santo Antônio de Pádua (RJ);41325;2462;2394;2337;2502;2818;2708;2810;3024;3211;2814;2906;2818;2472;2073;1569;1133;695;357;167;45;10;20037;1219;1229;1205;1261;1341;1349;1369;1462;1575;1310;1395;1375;1199;986;729;519;290;149;56;13;6;21288;1243;1165;1132;1241;1477;1359;1441;1562;1636;1504;1511;1443;1273;1087;840;614;405;208;111;32;4
São Francisco de Itabapoana (RJ);45059;2976;3132;3047;3113;3166;3069;3050;3203;3369;3057;2875;2895;2579;1997;1584;919;536;311;110;45;26;22407;1525;1616;1592;1592;1562;1529;1470;1599;1626;1510;1416;1408;1251;1017;789;445;247;140;50;15;8;22652;1451;1516;1455;1521;1604;1540;1580;1604;1743;1547;1459;1487;1328;980;795;474;289;171;60;30;18
São Fidélis (RJ);38961;2173;2454;2358;2339;2623;2423;2613;2834;3124;2590;2675;2491;2455;1934;1531;1070;685;373;162;48;6;19225;1140;1244;1212;1213;1427;1166;1286;1332;1543;1299;1320;1195;1189;930;699;484;301;158;70;14;3;19736;1033;1210;1146;1126;1196;1257;1327;1502;1581;1291;1355;1296;1266;1004;832;586;384;215;92;34;3
São Gonçalo (RJ);896744;46231;54374;49123;52492;61873;64382;65221;68548;74099;65527;63813;59898;54136;43571;31876;19756;12417;6138;2499;673;97;421444;23408;27707;25213;26380;30251;30488;30915;32245;35140;30770;29818;27616;24249;18855;13207;7739;4634;1939;698;156;16;475300;22823;26667;23910;26112;31622;33894;34306;36303;38959;34757;33995;32282;29887;24716;18669;12017;7783;4199;1801;517;81
São João da Barra (RJ);36573;2074;2397;2270;2176;2324;2433;2563;2691;2900;2803;2563;2435;2282;1715;1208;814;533;256;116;16;4;17817;1077;1198;1138;1094;1167;1142;1244;1268;1406;1384;1258;1188;1087;840;590;344;236;103;45;7;1;18756;997;1199;1132;1082;1157;1291;1319;1423;1494;1419;1305;1247;1195;875;618;470;297;153;71;9;3
São João de Meriti (RJ);440962;24463;31704;26998;29036;32533;33945;32453;32921;34021;29969;29563;27588;25164;20410;13732;7711;4880;2485;1074;270;42;208571;12457;16252;13818;14837;15823;16004;15426;15452;16092;14179;13882;12677;11383;8828;5706;2960;1639;780;295;64;17;232391;12006;15452;13180;14199;16710;17941;17027;17469;17929;15790;15681;14911;13781;11582;8026;4751;3241;1705;779;206;25
São José de Ubá (RJ);7070;399;403;403;410;458;458;445;478;599;482;522;511;438;332;274;212;139;71;25;10;1;3467;198;188;197;203;226;221;211;231;288;231;273;258;227;169;133;103;61;33;12;4;-;3603;201;215;206;207;232;237;234;247;311;251;249;253;211;163;141;109;78;38;13;6;1
São José do Vale do Rio Preto (RJ);22080;1493;1455;1315;1498;1693;1756;1661;1528;1673;1482;1555;1428;1127;925;699;372;259;109;44;7;1;10887;754;728;683;751;838;896;812;752;810;712;788;713;525;464;347;152;113;30;14;5;-;11193;739;727;632;747;855;860;849;776;863;770;767;715;602;461;352;220;146;79;30;2;1
São Pedro da Aldeia (RJ);104029;6563;7063;6723;6907;7186;7226;7164;7932;8924;7384;7203;6431;5594;4508;3228;1980;1166;569;213;53;12;50381;3297;3608;3507;3533;3551;3445;3427;3682;4307;3512;3609;3044;2618;2034;1526;868;519;190;74;28;2;53648;3266;3455;3216;3374;3635;3781;3737;4250;4617;3872;3594;3387;2976;2474;1702;1112;647;379;139;25;10
São Sebastião do Alto (RJ);7750;455;473;476;447;432;492;485;498;593;527;571;591;515;422;290;207;148;88;31;7;2;3820;238;254;229;225;206;251;237;236;286;274;286;289;238;210;155;81;75;39;8;3;-;3930;217;219;247;222;226;241;248;262;307;253;285;302;277;212;135;126;73;49;23;4;2
Sapucaia (RJ);17729;968;1042;1128;1148;1248;1131;1210;1241;1314;1167;1268;1243;1132;936;657;415;261;140;64;14;2;8715;475;550;581;586;625;564;591;599;665;585;606;598;558;432;310;196;112;55;26;1;-;9014;493;492;547;562;623;567;619;642;649;582;662;645;574;504;347;219;149;85;38;13;2
Saquarema (RJ);89559;4950;5785;5387;5561;5717;5706;5827;6197;6624;5956;6034;6120;6165;5137;3767;2279;1339;666;254;78;10;43397;2515;3031;2786;2901;2837;2793;2775;2959;3100;2832;2840;2845;2899;2501;1804;1036;570;272;77;24;-;46162;2435;2754;2601;2660;2880;2913;3052;3238;3524;3124;3194;3275;3266;2636;1963;1243;769;394;177;54;10
Seropédica (RJ);80596;5126;5810;5397;5620;6445;6277;5837;5668;6062;5350;5321;4785;4295;3359;2367;1385;836;400;198;50;8;38865;2574;2981;2780;2836;3153;3027;2809;2632;2857;2610;2547;2260;1980;1571;1074;594;352;149;69;10;-;41731;2552;2829;2617;2784;3292;3250;3028;3036;3205;2740;2774;2525;2315;1788;1293;791;484;251;129;40;8
Silva Jardim (RJ);21352;1358;1511;1452;1505;1611;1494;1385;1545;1665;1386;1412;1261;1217;939;679;416;272;151;70;19;4;10542;688;791;793;776;813;701;646;738;799;669;680;631;578;480;320;202;133;68;27;7;2;10810;670;720;659;729;798;793;739;807;866;717;732;630;639;459;359;214;139;83;43;12;2
Sumidouro (RJ);15206;970;969;948;958;1069;1160;1117;1175;1292;997;1081;1004;826;651;444;269;142;99;23;10;2;7741;544;523;488;492;551;563;580;570;644;502;550;508;422;329;217;137;60;46;11;3;1;7465;426;446;460;466;518;597;537;605;648;495;531;496;404;322;227;132;82;53;12;7;1
Tanguá (RJ);31086;1926;2231;1995;2027;2342;2206;2123;2205;2610;2273;2183;1860;1636;1319;947;581;354;183;68;14;3;15135;943;1123;1027;1053;1075;1042;1010;1088;1289;1102;1060;876;795;652;461;268;147;87;31;6;-;15951;983;1108;968;974;1267;1164;1113;1117;1321;1171;1123;984;841;667;486;313;207;96;37;8;3
Teresópolis (RJ);165123;9087;10171;9931;10740;12011;11759;11536;11988;12784;11405;10947;10678;9623;7996;5871;3940;2491;1332;608;204;21;78469;4506;5250;4992;5495;5942;5818;5527;5724;6122;5384;5085;4874;4242;3629;2584;1620;988;452;181;52;2;86654;4581;4921;4939;5245;6069;5941;6009;6264;6662;6021;5862;5804;5381;4367;3287;2320;1503;880;427;152;19
Trajano de Moraes (RJ);10302;561;586;652;683;655;635;654;711;781;707;735;787;640;533;376;275;183;101;39;4;4;5198;299;291;344;372;317;322;313;353;384;370;350;420;311;277;200;128;79;52;14;2;-;5104;262;295;308;311;338;313;341;358;397;337;385;367;329;256;176;147;104;49;25;2;4
Três Rios (RJ);78346;4533;5197;5010;5109;5445;5677;5568;5595;5945;5220;5171;4978;4604;3698;2734;1809;1099;600;265;76;13;37062;2305;2657;2590;2583;2642;2697;2640;2614;2816;2421;2449;2324;2091;1614;1181;726;417;184;92;19;-;41284;2228;2540;2420;2526;2803;2980;2928;2981;3129;2799;2722;2654;2513;2084;1553;1083;682;416;173;57;13
Valença (RJ);68088;3553;3973;4118;4564;4943;4643;4302;4514;4844;4324;4442;4781;4530;3511;2729;1919;1226;722;353;84;13;32154;1791;2047;2095;2324;2479;2258;2052;2088;2279;1989;2082;2197;2046;1594;1188;814;465;234;111;19;2;35934;1762;1926;2023;2240;2464;2385;2250;2426;2565;2335;2360;2584;2484;1917;1541;1105;761;488;242;65;11
Varre-Sai (RJ);10207;701;685;723;905;756;694;706;747;761;677;652;582;484;456;264;195;119;60;32;8;-;5224;385;358;365;512;378;325;364;382;392;342;345;288;243;227;125;92;63;23;11;4;-;4983;316;327;358;393;378;369;342;365;369;335;307;294;241;229;139;103;56;37;21;4;-
Vassouras (RJ);33976;2021;2073;2003;2275;2512;2292;2242;2412;2638;2228;2256;2250;2033;1632;1279;844;529;280;141;31;5;15957;999;1019;1076;1151;1228;1080;1051;1093;1255;1075;1030;1005;904;742;545;353;203;87;50;11;-;18019;1022;1054;927;1124;1284;1212;1191;1319;1383;1153;1226;1245;1129;890;734;491;326;193;91;20;5
Volta Redonda (RJ);261563;13196;15359;14942;15648;18001;18519;18124;19214;20776;17044;17148;18212;17536;14541;10233;5929;3692;2187;975;246;41;122844;6736;7841;7541;7960;8947;9018;8667;9088;9722;7825;7821;8139;7874;6420;4324;2410;1365;742;316;79;9;138719;6460;7518;7401;7688;9054;9501;9457;10126;11054;9219;9327;10073;9662;8121;5909;3519;2327;1445;659;167;32
Fonte: IBGE - Censo Demográfico;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
